,gene_id,gene_name
542,ENSMUSG00000102231,1700074A21Rik
543,ENSMUSG00000026113,Inpp4a
544,ENSMUSG00000086064,4930439A04Rik
545,ENSMUSG00000102879,Gm37135
546,ENSMUSG00000026112,Coa5
547,ENSMUSG00000026111,Unc50
548,ENSMUSG00000026110,Mgat4a
549,ENSMUSG00000103948,4930594C11Rik
550,ENSMUSG00000087233,Gm43213
551,ENSMUSG00000026090,2010300C02Rik
552,ENSMUSG00000089767,4930556I23Rik
553,ENSMUSG00000104365,4930470B04Rik
554,ENSMUSG00000102650,Gm19863
555,ENSMUSG00000060771,Tsga10
556,ENSMUSG00000097268,Gm26805
557,ENSMUSG00000037216,Lipt1
558,ENSMUSG00000026088,Mitd1
559,ENSMUSG00000026087,Mrpl30
560,ENSMUSG00000061584,Lyg2
561,ENSMUSG00000087374,Gm15457
562,ENSMUSG00000026085,Lyg1
563,ENSMUSG00000089141,Gm23409
564,ENSMUSG00000058407,Txndc9
565,ENSMUSG00000026083,Eif5b
566,ENSMUSG00000026082,Rev1
567,ENSMUSG00000103804,Gm37062
568,ENSMUSG00000102716,Gm5099
569,ENSMUSG00000037138,Aff3
570,ENSMUSG00000085391,Gm16150
571,ENSMUSG00000085280,Gm16151
572,ENSMUSG00000087131,Gm16152
573,ENSMUSG00000102984,Gm34727
574,ENSMUSG00000102541,Gm38135
575,ENSMUSG00000103531,2610300A13Rik
576,ENSMUSG00000048814,Lonrf2
577,ENSMUSG00000026080,Chst10
578,ENSMUSG00000103647,Gm37707
579,ENSMUSG00000102447,Gm6621
580,ENSMUSG00000067604,Nms
581,ENSMUSG00000026078,Pdcl3
582,ENSMUSG00000103046,Gm37309
583,ENSMUSG00000104188,Gm37821
584,ENSMUSG00000103182,Gm37091
585,ENSMUSG00000098833,Mir6349
586,ENSMUSG00000026077,Npas2
587,ENSMUSG00000092553,Gm20428
588,ENSMUSG00000092563,Gm3617
589,ENSMUSG00000073702,Rpl31
590,ENSMUSG00000003134,Tbc1d8
591,ENSMUSG00000102607,Gm37265
592,ENSMUSG00000065629,Gm24826
593,ENSMUSG00000104827,Gm24826
594,ENSMUSG00000003135,Cnot11
595,ENSMUSG00000085894,Gm15832
596,ENSMUSG00000077704,Snord89
597,ENSMUSG00000048234,Rnf149
598,ENSMUSG00000064936,Gm23722
599,ENSMUSG00000102471,Gm5100
600,ENSMUSG00000050967,Creg2
601,ENSMUSG00000097083,D930019O06Rik
602,ENSMUSG00000057173,Rfx8
603,ENSMUSG00000091937,Gm3646
604,ENSMUSG00000101634,1700066B17Rik
605,ENSMUSG00000026074,Map4k4
606,ENSMUSG00000102985,4930456G14Rik
607,ENSMUSG00000026073,Il1r2
608,ENSMUSG00000097899,Gm16894
609,ENSMUSG00000102975,Gm37347
610,ENSMUSG00000026072,Il1r1
611,ENSMUSG00000103560,Gm38070
612,ENSMUSG00000070942,Il1rl2
613,ENSMUSG00000103230,Gm17970
614,ENSMUSG00000026069,Il1rl1
615,ENSMUSG00000026070,Il18r1
616,ENSMUSG00000026068,Il18rap
617,ENSMUSG00000104441,Gm35801
618,ENSMUSG00000026065,Slc9a4
619,ENSMUSG00000102676,Gm37435
620,ENSMUSG00000026062,Slc9a2
621,ENSMUSG00000103679,Gm37623
622,ENSMUSG00000103270,Gm37915
623,ENSMUSG00000041945,Mfsd9
624,ENSMUSG00000079588,Tmem182
625,ENSMUSG00000094136,Gm5973
626,ENSMUSG00000104072,4930448I06Rik
627,ENSMUSG00000100185,Gm28634
628,ENSMUSG00000100832,Gm29260
629,ENSMUSG00000100178,Gm5267
630,ENSMUSG00000101877,Gm8176
631,ENSMUSG00000053640,Gm9915
632,ENSMUSG00000101919,Gm29664
633,ENSMUSG00000101299,Gm28175
634,ENSMUSG00000100180,Gm28140
635,ENSMUSG00000103106,Gm37047
636,ENSMUSG00000060424,Pantr1
637,ENSMUSG00000104199,4930420N18Rik
638,ENSMUSG00000093436,Gm20646
